ActionName,Target,Parameter
RemoveTextbook,,무언가를 만들 때 가장 좋은 방법:제작대`제작대1
노아,"""제작대에 대해서 한번 공부해보자""",Noah2
Thinking,0`1, 
 ,"제작대는 무언가를 만드는데 사용되는데 그 결과물은 다양하다.",
 ,"서로 다른 재료 3가지를 제작대에 넣고 약 20초가량을 기다리면 결과물을 볼 수 있다.",
 ,"결과는 재료 3가지의 조합만으로 결정되며 그 순서는 고려하지 않는다.",
 ,"만약 존재하지 않는 조합이라면 아무런 결과물도 나오지 않는다",
Thinking,0`1, 
노아,"""헉, 틀린 방식을 사용했을때가 위험하네""",Noah2
노아,"""그러지 않기 위해서는 다양한 제작법을 잘 알아야겠지""",Noah2
노아,"""돌 한개에 흰 조개 두개를 조합해서 수리키트를 만들 수 있다""...?",Noah2
SetSubDialogue,,제작대2
Transition,,fade
ConnectNextDialogue,,
